id	Non-malignant	Non-malignant	Claudin-low	Non-malignant	Claudin-low	Non-malignant	Claudin-low	Claudin-low	Claudin-low	Non-malignant	Claudin-low
ENSG00000265190.5	6.051924449	6.586130275	0.058268908	5.499869492	0.058268908	4.932169121	0.451075619	0.285178942	0.09531018	6.065968869	1.033184483
ENSG00000189280.3	3.941581808	4.252629541	0.470003629	4.014579594	0	3.691874963	0.157003749	0.039220713	0.157003749	4.749703337	0.048790164
ENSG00000142675.16	3.431403224	3.447126314	1.401182974	3.318540148	0.357674444	3.511246887	0.815364813	0.3074847	0.765467842	2.995732274	0.113328685
ENSG00000173801.15	5.390212631	6.669193475	1.821318271	5.325397371	3.021887231	5.648058326	1.769854634	2.418588769	1.043804052	6.327793916	2.162172939
ENSG00000021762.18	3.573468603	4.059062748	2.609334228	3.769537357	2.038619547	4.085976313	1.623340818	1.93441577	1.658228077	3.619261387	1.752672081
ENSG00000102890.13	3.383372797	3.744787086	1.499623046	3.434309733	1.294727168	3.968970286	0.815364813	1.481604541	0.300104592	3.687628672	0.722705983
ENSG00000276850.3	3.708927149	3.32970138	NA	2.779440197	1.223775432	2.975529566	NA	NA	0.039220713	2.800325477	0.741937345
ENSG00000206075.12	4.960464177	5.597495604	0	5.241006	0.029558802	5.309850602	1.01523068	0.039220713	2.149433913	4.261975404	0
ENSG00000113430.8	2.772588722	3.582963229	0.392042088	3.568123253	0	2.785628336	0.139761942	0	0	2.64900766	0.97455964
ENSG00000163220.10	5.21564203	6.577805723	1.150572028	6.118911844	0	5.71732371	1.479329227	0.751416089	2.17702187	7.534377968	0.470003629
ENSG00000163362.9	2.840247371	3.60875341	0.879626748	3.109507288	1.147402453	3.2429829	1.678963975	1.075002423	1.824549292	3.337902531	1.566530411
ENSG00000237289.8	4.794881041	4.488299234	0.350656872	4.549023025	0.254642218	3.580180037	0.277631737	0.78845736	0.21511138	4.930798121	0
ENSG00000273760.1	3.040705639	4.019621016	0	3.061988069	0.722705983	3.093766014	1.486139696	0.405465108	0	3.850573043	0.858661619
ENSG00000148344.10	6.261911444	5.497086255	0.31481074	5.936717928	1.742219024	6.268603738	1.93874166	0.182321557	1.08180517	5.626793433	2.358965426
ENSG00000152939.13	2.474856314	2.744060639	1.371180723	2.1690537	0.698134722	2.13771045	0.641853886	0.615185639	0.636576829	2.54709867	0.231111721
ENSG00000129194.6	3.822317092	4.375379592	1.134622726	4.001315113	0.683096845	3.723522398	0.223143551	0.867100488	0.553885113	5.067330638	1.05431203
