id	Luminal	Basal	Basal A	Basal	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal A	Basal A	Basal B	Basal	Basal	Basal B	Basal B	Basal	Basal B	Basal A	Basal	Basal	Basal A	Basal	Luminal	Basal A
PTMA	10.935	9.69036	9.71873	10.1903	10.1603	10.1858	9.65863	9.86995	10.4349	10.5737	9.79557	10.2941	10.1362	9.67207	9.42593	10.007	10.5922	9.23862	10.2335	9.99197	9.67784	10.2742	9.89942	9.86158	10.4965	10.1164	9.76705	10.6116	10.3665	9.56977	9.94336
SRRM2	10.4491	10.1665	9.64732	10.187	9.62938	9.64221	9.27707	9.92646	9.81891	10.1219	9.52724	10.2227	9.51224	9.37352	9.66482	9.36915	10.0854	9.1346	10.097	9.92646	9.69036	9.90836	10.2447	9.62938	9.20536	10.2292	9.99197	9.6973	10.4564	9.52229	9.47036
RPS18	9.90836	9.6973	9.71112	9.59168	10.019	10.5773	10.2509	9.35459	10.0071	9.58033	10.1785	10.1451	10.0922	9.80977	10.2871	9.75385	9.17105	9.51735	9.87999	9.75385	11.0158	9.71873	9.87999	9.54362	10.0488	9.6973	9.56977	10.3529	9.88806	9.78159	10.7624
NCL	9.99197	9.79557	9.90836	10.2919	10.5655	10.0888	9.95081	10.1958	10.2621	10.4608	10.0181	10.8481	10.0765	9.45652	9.98067	10.3741	9.67784	9.47499	10.2796	10.0195	9.95081	10.6085	9.94336	9.39788	9.85227	10.2124	9.40687	10.7419	10.2692	9.12708	9.83451
RACK1	9.70432	9.48367	9.84451	10.5103	10.3335	10.0144	10.0581	10.4432	10.3295	9.77451	9.91797	10.4155	10.0572	9.95081	10.5653	9.59774	8.98971	9.67207	9.72471	9.60998	10.938	9.66482	9.55907	9.23216	10.0269	10.556	9.56417	10.185	9.69036	9.85227	9.78159
LDHA	9.73239	9.45204	10.0099	9.49319	10.6312	10.3909	10.916	9.55345	10.2813	10.1583	10.161	10.0758	9.96102	9.38236	9.97141	10.7001	9.42209	10.5461	9.47499	9.35063	10.6748	10.5037	9.49797	10.0364	9.97141	9.46043	9.09023	10.0513	9.72471	9.4792	9.71112
DDX5	10.624	9.92646	9.34661	9.68438	9.51224	9.24508	9.41051	9.07539	9.63593	9.53257	9.28066	9.36525	8.9494	9.3323	10.3781	9.4883	9.04193	9.0872	9.33595	9.27707	10.1116	9.83451	10.051	9.538	9.40207	9.57539	10.2332	9.83451	10.5874	10.092	9.95081
RPL13A	10.0577	10.2546	9.59168	9.62938	11.1312	10.3288	9.89942	9.17465	9.54362	9.80977	10.1678	9.93477	9.86158	9.47036	9.13943	9.7463	9.11934	9.57539	9.96102	9.78828	10.1911	9.49797	10.3893	9.26124	10.0306	9.73886	9.70432	10.1697	9.2354	9.80225	10.0017
RPL7A	9.86158	9.41051	10.0086	9.41855	10.0359	10.1027	10.2885	9.93477	9.65863	10.0011	9.94336	10.3513	10.0298	9.7463	9.94336	9.66482	9.34661	9.2354	10.0294	9.82724	9.99197	9.65264	9.44353	9.62265	9.80977	9.37715	8.9979	10.3661	9.97141	10.3021	10.0575
RPS3	10.1348	9.43888	9.14968	10.3672	10.0547	10.6292	9.78159	8.992	10.2625	9.31396	9.97141	9.91797	9.77451	9.41051	9.58033	9.90836	9.02779	9.3611	9.98067	9.77451	9.98067	9.72471	9.47036	9.3611	9.87999	10.3882	9.5862	10.0707	9.65264	9.58033	10.4587
