id	Non-malignant	Non-malignant	Non-malignant	Non-malignant	Non-malignant	Claudin-low	Claudin-low	Claudin-low	Claudin-low	Claudin-low	Claudin-low
ENSG00000085552.15	9.59	20.51	6.5	7.26	9.65	0.62	0.07	0.2	0.32	0.05	0.44
ENSG00000140950.14	54.67	36.82	29.6	43.12	36.99	10.52	13.6	11.03	17.56	14.1	22.22
ENSG00000125731.11	52.33	25.73	70.75	39.82	64.49	0.32	1.37	2.08	0.67	0.44	11.85
ENSG00000110328.5	17.01	13.55	21.47	10.97	26.05	1.45	3.78	2.26	2.97	3.65	7.2
ENSG00000109321.9	439.67	44.46	512.01	736.67	148.04	0.05	0	0.59	0.22	0.48	4.57
ENSG00000149043.15	302.07	273.55	178.65	27.32	128.17	0.04	0	0	0.06	1.83	0.85
ENSG00000124466.8	63.88	229.77	32.65	241.97	226.03	2.17	15.71	0.37	0.77	2.99	0.6
ENSG00000264230.6	269.38	480.03	115.1	53.18	200.28	0.28	0.33	0.43	0.95	0	0.62
ENSG00000135452.8	20.59	24.04	21.66	23.64	13.38	7.71	7.81	9.51	6.17	10.06	5.37
ENSG00000175591.10	19.3	24.6	5.44	14.44	14.21	0	0.03	0.61	0.02	0.08	4.52
ENSG00000114993.14	48.17	79.36	58.66	38.66	56.6	6.3	4.12	20.85	8.82	13.33	9.02
ENSG00000189221.8	29.1	110.34	50.77	13.58	23.13	0.29	0.09	0.02	0.08	2.21	2.59
ENSG00000163810.10	1.37	1.35	2.22	1.7	1.17	0.06	0.02	0.13	0.05	0	0.05
ENSG00000204959.4	7.24	9.23	12.82	7.48	23.44	0	0.07	3.51	0.28	0.11	1.27
ENSG00000136002.15	14.9	45.31	35.53	29.84	24.65	0.06	0.69	8.66	0.16	0.54	0.97
ENSG00000280128.1	0.53	0.84	0.99	0.37	0.59	2.16	3.09	1.39	3.64	2.62	2.51
ENSG00000170873.17	26.76	34.61	16.39	19.49	18.66	0.55	5.12	1.95	3.8	3.72	0.52
ENSG00000184574.8	4.63	2.93	3.14	8.33	7.7	0	0.11	0.04	0.18	0.03	1.2
ENSG00000104413.14	48.02	54.59	22.89	12.67	35.36	0.19	0.15	0.25	0.02	0.42	0.37
ENSG00000279806.1	47.23	50.92	59.36	14.62	73.41	0.03	0.08	0	0.07	0	0.05
ENSG00000173517.9	2.32	1.47	3.06	3.49	0.73	9.72	18.85	14.24	12.56	15.63	8.68
ENSG00000101311.14	42.66	46.36	43.32	137.25	45.38	1.91	0.53	8.29	3.23	1.68	12.2
ENSG00000096696.12	31.6	235.65	84.37	28.97	142.82	0.01	0.18	3.07	3.3	0.07	7.47
ENSG00000089127.11	9.34	11.98	4.83	16.91	4.64	0.11	0.27	0.26	0.08	0.22	2.51
ENSG00000124107.5	227.26	1926.39	601.93	993.23	1176.88	5.44	17.79	43.27	0	0.26	0.19
ENSG00000184838.13	1.89	2.01	1.42	3.99	1.73	58.89	9.27	13.47	26.76	24.44	18.62
ENSG00000105855.8	6.27	9	8.45	9.16	2.78	0.05	0.89	0.38	0.77	0.45	0.06
ENSG00000147689.15	72.06	93.73	55.46	454.31	230	0.24	0.41	0.02	0.11	0.07	0.91
