id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000071073	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.44	0.00	1.07	0.83
ENSG00000071991	0.00	0.00	0.00	226.93	0.00	2.50	0.00	11.76	364.72	0.49	0.61	19.66	1.77	6206.61	158.23	2.50	23.04	0.00	418.55	55.49
ENSG00000072080	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.69
ENSG00000072195	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000073605	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000073756	5.00	0.00	1.79	0.00	552.10	14.75	93.64	3563.15	132.28	31.80	0.00	28.61	4.20	399.18	35.63	896.76	2976.09	6560.11	22.36	791.44
ENSG00000074219	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.76	0.00	0.00	0.00
ENSG00000074416	1.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000074660	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00
ENSG00000074755	0.00	0.00	0.00	0.77	1.03	0.00	4.24	0.00	1.65	0.00	1.20	0.74	0.00	11.62	0.00	1.98	0.00	0.93	1.32	0.00
ENSG00000074800	0.00	0.00	0.00	6.74	5.00	0.00	0.00	129.30	2.32	1.90	8.32	16.45	2.29	30.87	4.84	8.18	0.00	0.00	0.00	92.86
ENSG00000075131	0.00	4.62	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	2.39	2.34	0.00	0.00	2.40	0.00	0.00	0.00	0.00
ENSG00000075539	0.00	0.00	0.00	0.00	0.00	NA	0.00	NA	0.00	NA	0.00	0.00	0.00	0.00	0.00	7.48	0.00	0.00	0.00	0.00
ENSG00000075624	573.02	413.86	898.10	559.99	1872.70	667.20	309.21	1671.28	240.45	532.03	1946.62	481.89	816.00	1207.74	2868.69	1455.04	103.61	1090.59	1404.56	952.81
ENSG00000075702	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.55	1.33	0.00	0.00	0.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000075884	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000075886	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000076053	0.00	2.19	0.00	0.45	0.00	1.13	1.13	0.00	0.00	0.92	0.00	0.00	0.00	1.84	2.34	1.14	1.36	1.10	1.23	2.06
ENSG00000076513	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80	0.00
ENSG00000076554	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	18.60	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000077254	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.38	0.00	0.00	0.00	1.36	2.61	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000077454	0.00	1.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000077809	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00
ENSG00000078124	0.00	0.00	0.00	0.00	0.55	0.00	2.52	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.50	0.00	0.47
ENSG00000078142	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
